player_id,player_name,forename,surname,tm_pos_1,tm_pos_2,tm_pos_3
HicksonDave19291030,Dave Hickson,Dave,Hickson,Centre-Forward,,
HigdonMichael19830902,Michael Higdon,Michael,Higdon,Centre-Forward,Second Striker,Right Winger
HigginsDave19610819,Dave Higgins,Dave,Higgins,Centre-Back,,
HilditchMark19600820,Mark Hilditch,Mark,Hilditch,Centre-Forward,,
HillClint19781019,Clint Hill,Clint,Hill,Centre-Back,Left-Back,
HillMandy19400215,Mandy Hill,Mandy,Hill,Right Winger,,
HillMatt19810326,Matt Hill,Matt,Hill,Left-Back,,
HinchliffeBen19881009,Ben Hinchliffe,Ben,Hinchliffe,Goalkeeper,,
HindsRichard19800822,Richard Hinds,Richard,Hinds,Centre-Back,Right-Back,
HockenhullBen20010903,Ben Hockenhull,Ben,Hockenhull,Centre-Back,,
HoganLiam19890208,Liam Hogan,Liam,Hogan,Centre-Back,Right-Back,
HolmesDanny19890106,Danny Holmes,Danny,Holmes,Right-Back,Left-Back,Centre-Back
HolnessMarcus19881208,Marcus Holness,Marcus,Holness,Centre-Back,,
HorwoodEvan19860310,Evan Horwood,Evan,Horwood,Left-Back,,
HotiFlorent20001211,Florent Hoti,Florent,Hoti,Central Midfield,Defensive Midfield,Left Midfield
HowarthRussell19820327,Russell Howarth,Russell,Howarth,Goalkeeper,,
HudsonGeorge19370314,George Hudson,George,Hudson,Centre-Forward,,
HughesJeff19850529,Jeff Hughes,Jeff,Hughes,Central Midfield,Left Midfield,Left-Back
HughesMark19620203,Mark Hughes,Mark,Hughes,Centre-Back,Sweeper,
HughesRhys20010921,Rhys Hughes,Rhys,Hughes,Central Midfield,Left Midfield,Right Midfield
HugillJordan19920604,Jordan Hugill,Jordan,Hugill,Centre-Forward,,
HumeIain19831030,Iain Hume,Iain,Hume,Centre-Forward,,
IhiekweMichael19921120,Michael Ihiekwe,Michael,Ihiekwe,Centre-Back,Right-Back,
IlesanmiSam19980713,Sam Ilesanmi,Sam,Ilesanmi,Centre-Forward,,
IronsKenny19701104,Kenny Irons,Kenny,Irons,Attacking Midfield,,
JacksonMarlon19901206,Marlon Jackson,Marlon,Jackson,Centre-Forward,Left Winger,Right Winger
