player_id,surname,forename,player_name,comp_rec_pos,soccerbase_pos,tm_pos_1,tm_pos_2,tm_pos_3
TaylorSamuel20031223,Taylor,Samuel,Samuel Taylor,,Forward,Centre-Forward,,
TaylorScott19760505,Taylor,Scott,Scott Taylor,,Forward,Centre-Forward,,
TealeShaun19640310,Teale,Shaun,Shaun Teale,Central Defender,Defender,Centre-Back,,
TempleErnest21910,Temple,Ernest,Ernest Temple,Goalkeeper,,,,
ThirkellPercy19000213,Thirkell,Percy,Percy Thirkell,Left Back,,,,
ThomasJohn19580805,Thomas,John,John Thomas,Center Forward,,,,
ThomasKevin19450813,Thomas,Kevin,Kevin Thomas,Goalkeeper,,,,
ThomasMooreIan19760826,Thomas-Moore,Ian,Ian Thomas-Moore,Striker,Forward,Centre-Forward,,
ThomasRobert41911,Thomas,Robert,Robert Thomas,Outside Right,,,,
ThomasStanley19190905,Thomas,Stanley,Stanley Thomas,Inside Left,,,,
ThomasTony19710712,Thomas,Tony,Tony Thomas,Defender,Defender,Right-Back,,
ThomasWilliam19060316,Thomas,William,William Thomas,Center Half,,,,
ThompsonAlex19171208,Thompson,Alex,Alex Thompson,Right Back,,,,
ThompsonAndy19671109,Thompson,Andy,Andy Thompson,,Defender,Left-Back,,
ThompsonBailey20010607,Thompson,Bailey,Bailey Thompson,,Midfielder,Centre-Forward,,
ThompsonBob18900227,Thompson,Bob,Bob Thompson,Right Back,,,,
ThompsonJoe19890305,Thompson,Joe,Joe Thompson,,Midfielder,Right Midfield,Right Winger,Left Midfield
ThompsonJohn19811012,Thompson,John,John Thompson,,Defender,Right-Back,Centre-Back,Right Midfield
ThompsonJosh19910225,Thompson,Josh,Josh Thompson,,Defender,Centre-Back,,
ThompsonRobert,Thompson,Robert,Robert Thompson,Center Forward,,,,
ThornAndy19661112,Thorn,Andy,Andy Thorn,Central Defender,Defender,Centre-Back,,
ThorntonSean19830518,Thornton,Sean,Sean Thornton,,Midfielder,Central Midfield,,
ThorpeAdrian19631125,Thorpe,Adrian,Adrian Thorpe,Outside Left,,,,
ThorpeAndy19600915,Thorpe,Andy,Andy Thorpe,Defender,,,,
TilstonTommy19260219,Tilston,Tommy,Tommy Tilston,Inside Forward,,,,
TimlinJamie20030916,Timlin,Jamie,Jamie Timlin,,,Centre-Forward,,
TiryakiMustafa19870302,Tiryaki,Mustafa,Mustafa Tiryaki,,Forward,Centre-Forward,,
TollittBen19941130,Tollitt,Ben,Ben Tollitt,,Midfielder,Right Midfield,Left Midfield,
TomlinsonBen19891011,Tomlinson,Ben,Ben Tomlinson,,Forward,,,
TomlinsonBen19891031,Tomlinson,Ben,Ben Tomlinson,,,Centre-Forward,Left Winger,Right Winger
TongRobert21911,Tong,Robert,Robert Tong,Center Forward,,,,
TrainRay19510210,Train,Ray,Ray Train,Midfielder,,Defensive Midfield,,
TraoreDrissa19920325,Traore,Drissa,Drissa Traore,,Midfielder,Central Midfield,Defensive Midfield,
TravisHarry19111226,Travis,Harry,Harry Travis,Center Forward,,,,
TremarcoCarl19851011,Tremarco,Carl,Carl Tremarco,,Defender,Left-Back,,
TuckerCharles1917,Tucker,Charles,Charles Tucker,Goalkeeper,,,,
TurnbullJordan19941030,Turnbull,Jordan,Jordan Turnbull,,Defender,Centre-Back,Left-Back,Defensive Midfield
TurnerCookeJay20031231,Turner-Cooke,Jay,Jay Turner-Cooke,,Midfielder,Attacking Midfield,Central Midfield,Right Midfield
TurnerIain19840126,Turner,Iain,Iain Turner,,Goalkeeper,Goalkeeper,,
TwistFrank19401102,Twist,Frank,Frank Twist,Outside Right,,,,
TynanBobby19551207,Tynan,Bobby,Bobby Tynan,Midfielder,,,,
TynanTommy19551117,Tynan,Tommy,Tommy Tynan,,,Centre-Forward,Right Winger,
UrmsonFred19071126,Urmson,Fred,Fred Urmson,Outside Left,,,,
VaughanJames19880714,Vaughan,James,James Vaughan,,Forward,Centre-Forward,,
VaughanLee19860717,Vaughan,Lee,Lee Vaughan,,Defender,Right-Back,Right Midfield,
VaulksWill19930913,Vaulks,Will,Will Vaulks,,Midfielder,Defensive Midfield,Centre-Back,Right-Back
VeitchTommy19491016,Veitch,Tommy,Tommy Veitch,Midfielder,,,,
VickersSteve19671013,Vickers,Steve,Steve Vickers,Central Defender,,Centre-Back,,
WalkdenEdgar,Walkden,Edgar,Edgar Walkden,Center Half,,,,
WalkdenEdgar19141104,Walkden,Edgar,Edgar Walkden,,,,,
WalkerBrad19960425,Walker,Brad,Brad Walker,,Midfielder,Defensive Midfield,Central Midfield,Centre-Back
WalkerRiceDanny20001110,Walker-Rice,Danny,Danny Walker-Rice,,Forward,Right Winger,Left Winger,
WalkerStephen20001011,Walker,Stephen,Stephen Walker,,Midfielder,Second Striker,Left Winger,Centre-Forward
WallaceJames19911219,Wallace,James,James Wallace,,Midfielder,Central Midfield,Defensive Midfield,Attacking Midfield
WallsArthur19310115,Walls,Arthur,Arthur Walls,Forward,,,,
WardGavin19700630,Ward,Gavin,Gavin Ward,,Goalkeeper,Goalkeeper,,
WaringGeorge19941202,Waring,George,George Waring,,Forward,Centre-Forward,,
WaringPongo19061012,Waring,Pongo,Pongo Waring,Center Forward,,,,
WarnerTony19740511,Warner,Tony,Tony Warner,,Goalkeeper,Goalkeeper,,
